"","UNIT_NAME","UNIT_TYPE","PARKNAME","pPolyID","placekey","safegraph_place_id","parent_placekey","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","naics_code","latitude","longitude"
"245","Saguaro National Park","National Park","Saguaro",49,"zzz-222@8tr-z3m-wtv","sg:e37a53b139674d5cb0e95a309d708013","","","Saguaro National Park West","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,32.25186,-111.187766
"246","Yosemite National Park","National Park","Yosemite",15,"zzy-226@5z7-rjw-k4v","sg:eda4d8ceb61e4ab6a76590d379312b84","","","Half Dome Village Pizza Patio & Bar","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,37.737327,-119.571181
"247","Yellowstone National Park","National Park","Yellowstone",2,"zzy-223@5wg-gzj-zzz","sg:f8a2d50fbef04bd5a6ecc1760e96918a","","","Yellowstone National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,44.428034,-110.587002
"248","Yosemite National Park","National Park","Yosemite",15,"222-222@5z7-rmq-zvf","sg:4a1f552db6074f0bb269d348c5adc23f","","","The Redwoods In Yosemite","","","Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores",453220,37.548692,-119.640315
"249","Yosemite National Park","National Park","Yosemite",15,"zzy-223@5z7-rj2-xbk","sg:b86abef6e17e47fa9e687af9f07b0d3b","","","Artist Point","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,37.810735,-119.4852
"250","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-224@5yz-bg2-h5z","sg:4ec3b06e6c2f45e9bea92c4ae6091ba0","","","Grand Canyon Lodge","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,36.197196,-112.052963
"251","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"222-222@63v-cnz-3t9","sg:a6f154b9506f4e1cb976b55fbd806162","","","Sun Valley Sports Brandywine","","","Sporting Goods, Hobby, and Musical Instrument Stores","Sporting Goods Stores",451110,41.28479,-81.551768
"252","Shenandoah National Park","National Park","Shenandoah",38,"zzy-222@63r-s7s-xdv","sg:d700ab9cac8b40f6851f4e1825db3cd2","","","Dark Hollow Falls Trailhead","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.51973,-78.430912
"253","Yellowstone National Park","National Park","Yellowstone",2,"zzy-222@5wg-jpc-85f","sg:ee80fe72f331469eaedafecd499c8a49","","","Madison","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,44.645684,-110.861193
"254","Shenandoah National Park","National Park","Shenandoah",38,"zzy-222@63g-jfw-vzz","sg:68180b96bd234352925822d1d0a0f729","","","South River Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,38.388853,-78.48548
"255","Yosemite National Park","National Park","Yosemite",15,"zzy-223@5z7-rjk-ygk","sg:757ece9d9da1487596bd5e1458e51d99","","","The Nature Shop","","","Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores",453220,37.746767,-119.583046
"256","Crater Lake National Park","National Park","Crater Lake",23,"zzy-223@5v9-6d5-xwk","sg:35c7d1b961d448018028167a60065279","","","Cater Lake Lodge Dining Room","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,42.912761,-122.072244
"257","Capitol Reef National Park","National Park","Capitol Reef",11,"zzy-222@5yy-qhs-7kf","sg:f86625b249364be2938f97336ffb768d","","","Gifford Homestead","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,38.283753,-111.247396
"258","Bryce Canyon National Park","National Park","Bryce Canyon",1,"zzy-223@5yy-84x-wtv","sg:c7fc6b5743ca4751b6cf07f3b4d847dd","zzy-222@5yy-84x-wtv","sg:7325cb5870c04022b8103547abdd4231","The Lodge at Bryce Canyon Dining Room","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,37.627063,-112.168135
"259","Arches National Park","National Park","Arches",29,"zzy-222@5qg-8sz-28v","sg:38bf599d09aa4148b5088a9a55ab6515","","","Skyline Arch","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.757021,-109.578889
"260","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-222@5yz-fv3-qvf","sg:49098a67b263444588bd04890d3f5975","","","Trailview Overlook","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,36.066411,-112.145909
"261","Saguaro National Park","National Park","Saguaro",49,"zzy-222@8ts-3sn-nh5","sg:96cc650786324f4589e7fe5200563985","","","DigitalMaxpro","","","Management, Scientific, and Technical Consulting Services","",5416,32.206446,-110.688284
"262","Carlsbad Caverns National Park","National Park","Carlsbad Caverns",20,"zzy-222@8tk-g4b-99f","sg:0fa9a5cac6d34ba384ea0dd4803baf48","","","Carlsbad Caverns","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,32.174772,-104.445842
"263","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rjs-c89","sg:f154ef26dfe444978defec85868d7a4b","","","Yosemite Community Church","","","Religious Organizations","Religious Organizations",813110,37.741019,-119.591622
"264","Yellowstone National Park","National Park","Yellowstone",2,"zzw-222@5wg-gzv-hkf","sg:7b1fdc1a5126414d929ed9e8e26e6aad","zzw-224@5wg-gzv-hkf","sg:c58213a815b94f48a46339482744d7f5","Indian Creek Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,44.462095,-110.642439
"265","Grand Canyon National Park","National Park","Grand Canyon",30,"zzw-222@5yz-ftm-rrk","sg:0382c89fdcfe4792819d6c0485fc1aee","","","Verkamp's","","","Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores",453220,36.06601,-112.116653
"266","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rj6-2kz","sg:aff6ef09171a429cb23625a88ed77a52","","","Gaylor Lakes","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,37.865098,-119.538352
"267","Sequoia National Park","National Park","Sequoia",3,"zzy-222@5z7-k3z-7bk","sg:3c3b88ed333d4fc59fa4b0d9fb6cb74f","","","Crescent Meadow and Tharp's Log","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,36.552562,-118.76137
"268","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"224-222@63v-cns-33q","sg:244df1ff17464919933ffb104dc20c5e","zzz-222@63v-cns-cnq","sg:3916d65e7fa4422d86cc2703ab9c4797","MD Garage","","","Other Miscellaneous Store Retailers","Art Dealers",453920,41.263204,-81.558751
"269","Shenandoah National Park","National Park","Shenandoah",38,"zzy-222@63r-s7t-f75","sg:5db3a19098584e0ba75cf4c51a3511fa","","","Big Meadows Wayside by ARAMARK","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,38.517447,-78.438365
"270","Shenandoah National Park","National Park","Shenandoah",38,"zzy-222@63r-s7z-kvf","sg:9f540e43589f457993c50c1786ac7f2d","","","Tanners Ridge Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,38.513524,-78.44937
"271","Yosemite National Park","National Park","Yosemite",15,"zzy-224@5z7-rjk-m49","sg:e327ec283d07441ea8cf60fd7be2bfc8","","","Lembert Dome Young Lakes Trail","","","Other Amusement and Recreation Industries","All Other Amusement and Recreation Industries",713990,37.745669,-119.593562
"272","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"222-222@63v-c7m-jgk","sg:52ad9701e0cc4ceb9342e7ca79097309","zzz-222@63v-cns-cnq","sg:3916d65e7fa4422d86cc2703ab9c4797","Greenfield Berry Farm","","","Grocery Stores","Supermarkets and Other Grocery (except Convenience) Stores",445110,41.23316,-81.583514
"273","Yellowstone National Park","National Park","Yellowstone",2,"zzy-225@5wg-k4r-yn5","sg:35b7e8aeb2314752aed227449997aaa1","","","Roosevelt Lodge Dining Room","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,44.555048,-110.395734
"274","Yellowstone National Park","National Park","Yellowstone",2,"zzw-223@5wg-h6c-6rk","sg:3b238908c5bd4ad59ad943818e322ad1","zzy-223@5wg-h6c-6rk","sg:8cc200c80cd94a9688c88dd03646b092","Mattie Culver Gravesite","","","Death Care Services","Cemeteries and Crematories",812220,44.460484,-110.828152
"275","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-ftw-ygk","sg:89d21734eabf458f9ee042aea888e45a","","","Andrews Bald Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,35.536266,-83.499748
"276","Sequoia National Park","National Park","Sequoia",3,"222-223@5z7-k2d-syv","sg:a48d9ade64fe454cb25ffba8640c9fba","","","Eagle Lake","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,36.564682,-118.772754
"277","Olympic National Park","National Park","Olympic",36,"zzy-222@5ww-t6m-pgk","sg:7671413b223d4fec893822a604075b98","","","Lake Crescent","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,48.057769,-123.790991
"278","Yellowstone National Park","National Park","Yellowstone",2,"zzy-224@5wg-h6c-6rk","sg:9202f5327c6241ad8da9789c738d32c0","zzy-223@5wg-h6c-6rk","sg:8cc200c80cd94a9688c88dd03646b092","Lake Lodge Cabins","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,44.460479,-110.828128
"279","Mesa Verde National Park","National Park","Mesa Verde",47,"zzy-222@5qf-fpy-zvf","sg:0d4777cd60ed4e31b6e1c76676ae96d8","","","Spruce Tree Terrace Cafe","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,37.1861,-108.488713
"280","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"222-222@63v-cp9-3kf","sg:4ab8e83d9663496dbaa091a89473118d","zzz-222@63v-cns-cnq","sg:3916d65e7fa4422d86cc2703ab9c4797","Sleepy Hollow Golf Course","","","Other Amusement and Recreation Industries","Golf Courses and Country Clubs",713910,41.305862,-81.619351
"281","Shenandoah National Park","National Park","Shenandoah",38,"zzy-222@63r-rsx-b49","sg:54170a1a2a254cad9a17b7bb8c6b679c","zzy-223@63r-rsx-b49","sg:a2c855711d8e4d6299c5d4e210abd602","Pollock Dining Room","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,38.593014,-78.380347
"282","Zion National Park","National Park","Zion",21,"zzy-222@5yy-b73-249","sg:1fe8d44ad47149618c97069051b154ba","","","Zion National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,37.209266,-112.980554
"283","Olympic National Park","National Park","Olympic",36,"222-222@5ww-rvp-bp9","sg:3a6aa9635b514c93a23552526df70eec","","","Hoh Rainforest","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,47.860861,-123.934755
"284","Shenandoah National Park","National Park","Shenandoah",38,"zzy-222@63g-jd7-hqz","sg:d358f75c3bee4a5e8a67f5f57f624cbc","","","Shenandoah National Park Swift Run Gap Entrance","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,38.358536,-78.547113
"285","Death Valley National Park","National Park","Death Valley",43,"222-224@5yv-5vb-cdv","sg:629c8043357d4fbbae17be41588e7743","","","Stovepipe Wells Village","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,36.60619,-117.146538
"286","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-223@8g9-njt-5mk","sg:96210892d63742778795def52606af1f","","","Nations Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.516132,-83.299389
"287","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-fvw-2ff","sg:d3596d38332d4db0acce9623c885e76d","","","Meigs Falls","","","Household Appliance Manufacturing","Major Household Appliance Manufacturing",335220,35.668959,-83.675129
"288","Bryce Canyon National Park","National Park","Bryce Canyon",1,"zzy-222@5yy-84x-wp9","sg:3b2868f7f78948f59b6d528725416421","","","Valhalla Pizzeria & Coffee Shop","","","Restaurants and Other Eating Places","Snack and Nonalcoholic Beverage Bars",722515,37.627174,-112.169186
"289","Yosemite National Park","National Park","Yosemite",15,"zzy-227@5z7-rjk-nwk","sg:6c613c5089f04ae39669b67d082fdc29","","","Yosemite Valley Lodge","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,37.743497,-119.598235
"290","Channel Islands National Park","National Park","Channel Islands",46,"zzy-222@5xq-45n-t7q","sg:dc07bab2e1da4e22bbb94da9fcf9814d","","","Anacapa Island Channel Islands","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,34.015755,-119.359426
"291","Yellowstone National Park","National Park","Yellowstone",2,"zzy-222@5wg-h6c-9mk","sg:334a4ee3534f43f28c0afd0feaa79082","","","Yellowstone Art & Photography Center","","","Other Professional, Scientific, and Technical Services","Photography Studios, Portrait",541921,44.458748,-110.827292
"292","Rocky Mountain National Park","National Park","Rocky Mountain",48,"zzw-222@5q6-68b-gp9","sg:3b81a41ffc864b5fbaca119ec4f0d4a8","","","Herbert Richards Grave","","","Death Care Services","Cemeteries and Crematories",812220,40.395134,-105.521808
"293","Gateway Arch National Park","National Park","Gateway Arch",9,"zzw-222@5pj-5gg-c5z","sg:ba1788ea009c41d0aa950430cafae93a","zzz-222@5pj-5gg-bx5","sg:30e5f8c108254e47bbe1b6c7579dbbdd","Design Arena","","","Printing and Related Support Activities","",3231,38.624672,-90.18477
"294","Glacier National Park","National Park","Glacier",24,"zzw-222@3wy-q29-8vz","sg:bb1a5bb1c39a429c892b64030a48606e","","","Eddie's Cafe and Gifts","","","Restaurants and Other Eating Places","Snack and Nonalcoholic Beverage Bars",722515,48.527574,-113.994012
"295","Shenandoah National Park","National Park","Shenandoah",38,"222-223@63r-p6q-8gk","sg:7211c63164e74544991bc2e2c9f9924b","","","7-Eleven","SG_BRAND_2e2448f12fc87fe452e9166153797a7f","7-Eleven","Grocery Stores","Convenience Stores",445120,38.909288,-78.197696
"296","Bryce Canyon National Park","National Park","Bryce Canyon",1,"zzy-222@5yy-84b-z75","sg:2d5f6063ec6a45939f7244760e079cff","","","Bryce Point View Point","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,37.603557,-112.156484
"297","Capitol Reef National Park","National Park","Capitol Reef",11,"zzy-222@5yy-qxk-92k","sg:6feb55f564ab456784d49d0ce352692c","","","Utah Valley University Capitol Reef Field Station","","","Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",611310,38.18509,-111.179131
"298","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"222-222@63v-cp4-jqf","sg:2ba8362c5e13448cbedd329161d39a81","","","National Park Service","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,41.271164,-81.556793
"299","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-my5-649","sg:d36fdb57e6674184a85e17ca9d3b4415","","","Cades Cove Great Smoky Mountains National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,35.606485,-83.77409
"300","Grand Canyon National Park","National Park","Grand Canyon",30,"222-222@5yz-ftg-syv","sg:d9d6194d510c4775a475626b42285e86","","","Amtrak","SG_BRAND_8600ba93ae70c64076266f8c3f3aec18","Amtrak","Rail Transportation","Line-Haul Railroads",482111,36.056784,-112.136723
"301","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5yx-hnz-nbk","sg:256f157d5cf1434aab77d97a79dbf7ea","","","Tuolumne Meadows Lodge","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,37.877309,-119.333105
"302","Yosemite National Park","National Park","Yosemite",15,"222-222@5z7-rjk-z4v","sg:646707e2de8a456c9642629be21cf66d","","","United States Postal Service (USPS)","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","Postal Service","Postal Service",491110,37.748263,-119.586358
"303","Bryce Canyon National Park","National Park","Bryce Canyon",1,"zzy-222@5yy-84q-t9z","sg:97ff6a45818a4d40b8d0bfdfbd68a1c1","","","Night Sky Program","","","Other Amusement and Recreation Industries","Skiing Facilities",713920,37.640461,-112.169571
"304","Hot Springs National Park","National Park","Hot Springs",45,"223-222@8f2-2tx-tvz","sg:4cc4b5cbb7934dcfaf35c1bf154d3a05","zzz-222@8f2-2v3-nh5","sg:1aa5b03e956c4236bffee3e5d01f5153","Mickey's Bar B Q & Country Store","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511,34.535159,-93.031916
"305","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-226@8g9-mxh-nbk","sg:7d1ddcb2a7744ca492a68093430ffc95","","","Cable Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.586472,-83.838566
"306","Mammoth Cave National Park","National Park","Mammoth Cave",4,"zzy-222@5py-4cx-fs5","sg:96275cf2d88f487f9b5c7a609b8b5433","","","Joppa Church Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,37.162618,-86.135164
"307","Kings Canyon National Park","National Park","Kings Canyon",10,"zzy-222@5z7-jqv-3t9","sg:6acb687168984a3096bd48bc87cb6424","","","John Muir Lodge","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,36.741822,-118.96051
"308","Mammoth Cave National Park","National Park","Mammoth Cave",4,"zzw-222@5py-44h-qs5","sg:6b5620f17ed345bfa64683a97572d2a1","","","Mammoth Cave Canoe & Kayak","","","Consumer Goods Rental","Recreational Goods Rental",532284,37.150963,-86.045037
"309","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-fb9-nwk","sg:bc36201e3bd541eab9e7b8d35bf16f7d","","","Lower Fighting Creek Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.688049,-83.538661
"310","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-222@5yz-ftm-rrk","sg:559283008fa94d89a37a91f75649836d","","","Yavapai Geology Museum","","","Museums, Historical Sites, and Similar Institutions","Museums",712110,36.066067,-112.117514
"311","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rjk-z4v","sg:24a3c3224d0e4be68167fa8f9edc3c93","","","Degnan's Kitchen","","","Grocery Stores","Convenience Stores",445120,37.748028,-119.585544
"312","Glacier National Park","National Park","Glacier",24,"zzy-222@3wy-q29-jjv","sg:2b58f3138b6141fa8d67924a0b7b2d48","","","Trail of the Cedars & Avalanche Lake","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,48.523069,-113.988488
"313","Olympic National Park","National Park","Olympic",36,"222-222@5ww-wff-4gk","sg:f3432f516bb240938d58e7b3c1299aeb","","","Kalaloch Beach and Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,47.605806,-124.371454
"314","Death Valley National Park","National Park","Death Valley",43,"zzy-225@5yv-4yd-6kz","sg:262560dfaa2a406c87c03f0058c36496","","","1849 Buffet","","","Gasoline Stations","Gasoline Stations with Convenience Stores",447110,36.461749,-116.866589
"315","Indiana Dunes National Park","National Park","Indiana Dunes",44,"zzw-222@5pw-4dv-6kz","sg:7765daef7d26466e94519bccf0ebccf8","","","Indiana Dunes National Lakeshore","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,41.686718,-86.996233
"316","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-mxh-nbk","sg:b861b93c4cc44662ae1d45dce8b143f8","","","Post Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.586491,-83.838555
"317","Shenandoah National Park","National Park","Shenandoah",38,"zzy-222@63r-rt5-5cq","sg:0887bf5beeb8465695cc1b6339c2b364","","","Little Stony Man Trailhead","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.608813,-78.365781
"318","Black Canyon of the Gunnison National Park","National Park","Black Canyon of the Gunnison",27,"zzy-222@5qg-2sg-bzf","sg:4b11d78559a94e32b85bfad7a90572d8","","","Chasm View Nature Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,38.584688,-107.756741
"319","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-223@8g9-mxh-nbk","sg:a93d44f6b49a473db87f50e19e5f9500","","","White Oaks Sinks Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.586491,-83.83857
"320","Zion National Park","National Park","Zion",21,"222-222@5yy-b72-gkz","sg:e92dca1b39154268aad4692b89b0d69d","","","The Narrows","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,37.200147,-112.986954
"321","Joshua Tree National Park","National Park","Joshua Tree",32,"zzy-222@5z5-9qh-73q","sg:02e2c669173d4d52973baa271326c2c9","","","Wall Street Mill Trail","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,34.036511,-116.133965
"322","Hot Springs National Park","National Park","Hot Springs",45,"223-223@8f2-2tx-tvz","sg:b4c1783f5fbe3436af25391031eb7ab9","zzz-222@8f2-2v3-nh5","sg:1aa5b03e956c4236bffee3e5d01f5153","Mickey's CMB'z","","","Bakeries and Tortilla Manufacturing","Retail Bakeries",311811,34.535144,-93.031911
"323","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-222@5yz-fzd-kpv","sg:07a58ca59f574c5ea67d93231a7439f4","","","Moran Point","","","Museums, Historical Sites, and Similar Institutions","Historical Sites",712120,36.005138,-111.924279
"324","Petrified Forest National Park","National Park","Petrified Forest",35,"zzw-222@8tg-3sk-zfz","sg:73a6f97f236946e583fd8e4cc249d140","","","Painted Desert Oasis","","","Gasoline Stations","Gasoline Stations with Convenience Stores",447110,35.080334,-109.783743
"325","Yosemite National Park","National Park","Yosemite",15,"zzy-226@5z7-rjk-nwk","sg:93e75b6fccd44b9db1a132f8b4e8e3ba","","","Mountain Room Lounge","","","Drinking Places (Alcoholic Beverages)","Drinking Places (Alcoholic Beverages)",722410,37.743693,-119.599024
"326","Guadalupe Mountains National Park","National Park","Guadalupe Mountains",8,"222-222@8tk-m3b-bff","sg:acbeed2c270445179089c2a6c71d4c3e","","","Guadalupe Mountains National Park","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,31.894305,-104.821761
"327","Olympic National Park","National Park","Olympic",36,"222-222@5ww-sn7-h3q","sg:646e7cdadaab48b29ea362b70a14e5bc","","","Mora Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,47.923801,-124.627156
"328","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"zzy-222@63v-cp3-rff","sg:00c148daef094ff5ae3d4886b4736b03","","","Boston Mills Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,41.266929,-81.560018
"329","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-222@8g9-h98-q9f","sg:5c62c74fc50548c889edd9cf2aa9c637","","","Little Cataloochee Baptist Church Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.664201,-83.096791
"330","Kings Canyon National Park","National Park","Kings Canyon",10,"222-222@5z7-cj2-7qz","sg:b74650de10104a558368b01612e0dec0","","","United States Postal Service (USPS)","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","Postal Service","Postal Service",491110,36.789794,-118.668024
"331","Mesa Verde National Park","National Park","Mesa Verde",47,"222-222@5qf-fpz-45f","sg:708bec7e55b24657b1c132c96ae5af7e","","","United States Postal Service (USPS)","SG_BRAND_27ee73cd1fb6f5e432852fea401eacce","United States Postal Service (USPS)","Postal Service","Postal Service",491110,37.18377,-108.488699
"332","Death Valley National Park","National Park","Death Valley",43,"zzy-223@5yv-5vb-c3q","sg:105e391c1061313f95032e8bd5a8e348","","","Stovepipe Wells General Store","","","Gasoline Stations","Gasoline Stations with Convenience Stores",447110,36.606996,-117.146446
"333","Saguaro National Park","National Park","Saguaro",49,"zzw-222@8tr-z9m-gff","sg:dd4e75fc434440f68890b94036d17710","zzz-222@8tr-z3m-wtv","sg:e37a53b139674d5cb0e95a309d708013","Kennel Nirvana","","","Other Personal Services","Pet Care (except Veterinary) Services",812910,32.309955,-111.101308
"334","Bryce Canyon National Park","National Park","Bryce Canyon",1,"zzy-222@5yy-84y-grk","sg:9e67218a01dd4964bcd6b37f1b9fe63c","","","Inspiration Point","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,37.6158,-112.170215
"335","Shenandoah National Park","National Park","Shenandoah",38,"224-222@63r-p3z-rp9","sg:8abee3c1f91d46898eff1b4b7e999d1a","","","CMR Generator Services","","","Waste Treatment and Disposal","Hazardous Waste Treatment and Disposal",562211,38.848726,-78.148262
"336","Indiana Dunes National Park","National Park","Indiana Dunes",44,"zzy-222@5pv-ytf-whq","sg:ac4ebe69f3554f649060c7bc5131a3ff","zzz-222@5pv-ytf-t5f","sg:a8d27f63295a407bb3bc8fff3649a821","Portage Lakefront & Riverwalk","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,41.631015,-87.177933
"337","Yosemite National Park","National Park","Yosemite",15,"zzy-222@5z7-rjv-w6k","sg:a4e646bdb0b8484d8af8eaf7b843ba2a","","","Tuolumne Meadows Stable Rides","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,37.740966,-119.564406
"338","Grand Canyon National Park","National Park","Grand Canyon",30,"zzy-225@5yz-fx6-kmk","sg:e90f228db84147f1a7cf54e4dbf33732","zzy-224@5yz-fx6-kmk","sg:13a58a12d2cd442fbc9eb348c0055a01","Desert View Watchtower","","","Lawn and Garden Equipment and Supplies Stores","Nursery, Garden Center, and Farm Supply Stores",444220,36.04409,-111.826151
"339","Joshua Tree National Park","National Park","Joshua Tree",32,"zzz-222@5z5-8yd-w49","sg:ef64aa66fafd4a4db8c31e68f84b6aee","","","Blm Desert Conservation Area","","","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions",712190,34.113768,-116.274382
"340","Wind Cave National Park","National Park","Wind Cave",16,"zzy-222@5qj-7y4-59f","sg:f684be778d8b4102a54eb0255f581d73","","","Elk Mountain Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,43.55653,-103.478324
"341","Grand Teton National Park","National Park","Grand Teton",25,"zzy-222@5qp-xtg-y7q","sg:4dadb956174d4cb18744b9467801042b","","","Jenny Lake Campground","","","RV (Recreational Vehicle) Parks and Recreational Camps","RV (Recreational Vehicle) Parks and Campgrounds",721211,43.753267,-110.719746
"342","Mount Rainier National Park","National Park","Mount Rainier",14,"zzy-222@5x3-wjg-rhq","sg:0f75c31a36ea4f5aae8eb0cb5d00b2d0","","","Camp Muir Trail","","","Other Amusement and Recreation Industries","All Other Amusement and Recreation Industries",713990,46.835572,-121.731933
"343","Cuyahoga Valley National Park","National Park","Cuyahoga Valley",31,"222-222@63v-cny-ndv","sg:76ba73a4d57b428e95f95866968e2f61","zzz-222@63v-cns-cnq","sg:3916d65e7fa4422d86cc2703ab9c4797","Inn At Brandywine Falls","","","Traveler Accommodation","Hotels (except Casino Hotels) and Motels",721110,41.278011,-81.538662
"344","Great Smoky Mountains National Park","National Park","Great Smoky Mountains",40,"zzy-223@8g9-hdw-92k","sg:6b2929bb18714c87835115d02e5ef63e","","","Jennifer Cemetery","","","Death Care Services","Cemeteries and Crematories",812220,35.756491,-83.226181
